eigenvalues,eigenvector1,eigenvector2,eigenvector3
9.86881,0.00437636,-0.00874848,-0.0131121
39.4657,0.00874848,-0.0174631,-0.0261102
88.762,0.0131121,-0.0261102,-0.038881
157.71,0.0174631,-0.0346562,-0.0513136
246.243,0.0217972,-0.0430682,-0.0632996
354.276,0.0261102,-0.0513136,-0.0747349
481.703,0.0303979,-0.0593604,-0.0855198
628.402,0.0346562,-0.0671776,-0.0955607
794.231,0.038881,-0.0747349,-0.10477
979.029,0.0430682,-0.082003,-0.113068
1182.62,0.0472137,-0.0889539,-0.120382
1404.8,0.0513136,-0.0955607,-0.126648
1645.36,0.0553638,-0.101798,-0.131812
1904.07,0.0593604,-0.107641,-0.13583
2180.67,0.0632996,-0.113068,-0.138665
2474.9,0.0671776,-0.118057,-0.140294
2786.47,0.0709906,-0.12259,-0.140702
3115.09,0.0747349,-0.126648,-0.139886
3460.42,0.0784069,-0.130216,-0.137853
3822.15,0.082003,-0.133281,-0.13462
4199.92,0.0855198,-0.13583,-0.130216
4593.37,0.0889539,-0.137853,-0.124679
5002.1,0.092302,-0.139343,-0.118057
5425.74,0.0955607,-0.140294,-0.110408
5863.86,0.098727,-0.140702,-0.101798
6316.05,0.101798,-0.140566,-0.092302
6781.87,0.10477,-0.139886,-0.082003
7260.86,0.107641,-0.138665,-0.0709906
7752.57,0.110408,-0.136908,-0.0593604
8256.51,0.113068,-0.13462,-0.0472137
8772.2,0.115618,-0.131812,-0.0346562
9299.15,0.118057,-0.128494,-0.0217972
9836.83,0.120382,-0.124679,-0.00874848
10384.7,0.12259,-0.120382,0.00437636
10942.3,0.124679,-0.115618,0.0174631
11509.1,0.126648,-0.110408,0.0303979
12084.4,0.128494,-0.10477,0.0430682
12667.8,0.130216,-0.098727,0.0553638
13258.7,0.131812,-0.092302,0.0671776
13856.5,0.133281,-0.0855198,0.0784069
14460.6,0.13462,-0.0784069,0.0889539
15070.5,0.13583,-0.0709906,0.098727
15685.5,0.136908,-0.0632996,0.107641
16305.1,0.137853,-0.0553638,0.115618
16928.7,0.138665,-0.0472137,0.12259
17555.6,0.139343,-0.038881,0.128494
18185.3,0.139886,-0.0303979,0.133281
18817.1,0.140294,-0.0217972,0.136908
19450.4,0.140566,-0.0131121,0.139343
20084.7,0.140702,-0.00437636,0.140566
20719.3,0.140702,0.00437636,0.140566
21353.6,0.140566,0.0131121,0.139343
21986.9,0.140294,0.0217972,0.136908
22618.7,0.139886,0.0303979,0.133281
23248.4,0.139343,0.038881,0.128494
23875.3,0.138665,0.0472137,0.12259
24498.9,0.137853,0.0553638,0.115618
25118.5,0.136908,0.0632996,0.107641
25733.5,0.13583,0.0709906,0.098727
26343.4,0.13462,0.0784069,0.0889539
26947.5,0.133281,0.0855198,0.0784069
27545.3,0.131812,0.092302,0.0671776
28136.2,0.130216,0.098727,0.0553638
28719.6,0.128494,0.10477,0.0430682
29294.9,0.126648,0.110408,0.0303979
29861.7,0.124679,0.115618,0.0174631
30419.3,0.12259,0.120382,0.00437636
30967.2,0.120382,0.124679,-0.00874848
31504.9,0.118057,0.128494,-0.0217972
32031.8,0.115618,0.131812,-0.0346562
32547.5,0.113068,0.13462,-0.0472137
33051.4,0.110408,0.136908,-0.0593604
33543.1,0.107641,0.138665,-0.0709906
34022.1,0.10477,0.139886,-0.082003
34487.9,0.101798,0.140566,-0.092302
34940.1,0.098727,0.140702,-0.101798
35378.3,0.0955607,0.140294,-0.110408
35801.9,0.092302,0.139343,-0.118057
36210.6,0.0889539,0.137853,-0.124679
36604.1,0.0855198,0.13583,-0.130216
36981.8,0.082003,0.133281,-0.13462
37343.6,0.0784069,0.130216,-0.137853
37688.9,0.0747349,0.126648,-0.139886
38017.5,0.0709906,0.12259,-0.140702
38329.1,0.0671776,0.118057,-0.140294
38623.3,0.0632996,0.113068,-0.138665
38899.9,0.0593604,0.107641,-0.13583
39158.6,0.0553638,0.101798,-0.131812
39399.2,0.0513136,0.0955607,-0.126648
39621.4,0.0472137,0.0889539,-0.120382
39825,0.0430682,0.082003,-0.113068
40009.8,0.038881,0.0747349,-0.10477
40175.6,0.0346562,0.0671776,-0.0955607
40322.3,0.0303979,0.0593604,-0.0855198
40449.7,0.0261102,0.0513136,-0.0747349
40557.8,0.0217972,0.0430682,-0.0632996
40646.3,0.0174631,0.0346562,-0.0513136
40715.2,0.0131121,0.0261102,-0.038881
40764.5,0.00874848,0.0174631,-0.0261102
40794.1,0.00437636,0.00874848,-0.0131121
