eigenvalues,eigenvector1,eigenvector2,eigenvector3
4.05672,0.0151167,-0.0204921,0.0240794
7.90438,0.0309152,-0.0416301,0.0485862
11.8062,0.047191,-0.0628454,0.0725143
15.7318,0.0637309,-0.0835592,0.0948651
19.6694,0.0803175,-0.1032,0.114691
23.6158,0.0967336,-0.12122,0.131137
27.5897,0.112766,-0.137113,0.143476
31.6872,0.12821,-0.150429,0.151143
36.1058,0.142872,-0.160785,0.153755
41.0207,0.156577,-0.16788,0.15113
46.4961,0.169164,-0.171498,0.143295
52.5317,0.180499,-0.171517,0.13048
59.1117,0.190466,-0.167908,0.113107
66.2204,0.198979,-0.160736,0.0917775
73.8438,0.205972,-0.150154,0.0672373
81.97,0.21141,-0.1364,0.0403503
90.5875,0.21528,-0.119782,0.0120605
99.6858,0.217595,-0.100672,-0.0166462
109.254,0.218391,-0.0794927,-0.0447814
119.282,0.217725,-0.0567017,-0.0713922
129.76,0.215673,-0.0327799,-0.0955961
140.675,0.212329,-0.00821653,-0.116612
152.018,0.207798,0.0165044,-0.133788
163.776,0.202197,0.0409162,-0.146616
175.938,0.195653,0.0645815,-0.154751
188.492,0.188296,0.0871015,-0.158009
201.425,0.180259,0.108124,-0.156376
214.725,0.171674,0.12735,-0.149991
228.379,0.162672,0.144537,-0.13914
242.374,0.153378,0.159503,-0.124233
256.696,0.143911,0.172122,-0.105789
271.33,0.134382,0.182331,-0.0844064
286.263,0.124893,0.190117,-0.0607399
301.48,0.115534,0.19552,-0.0354758
316.967,0.106386,0.198626,-0.00930639
332.707,0.097519,0.199558,0.017093
348.687,0.0889907,0.198475,0.0430843
364.891,0.0808486,0.195557,0.0680843
381.303,0.0731294,0.191007,0.0915784
397.906,0.06586,0.185038,0.113131
414.685,0.0590578,0.17787,0.132393
431.624,0.0527321,0.169721,0.149102
448.707,0.0468846,0.160807,0.163085
465.916,0.0415103,0.151332,0.174254
483.235,0.0365986,0.141489,0.1826
500.647,0.0321343,0.131454,0.188183
518.136,0.0280983,0.121386,0.191129
535.684,0.0244686,0.111425,0.191611
553.274,0.0212209,0.101691,0.189845
570.89,0.0183298,0.0922851,0.186076
588.514,0.0157687,0.0832874,0.180568
606.13,0.0135111,0.0747615,0.173597
623.72,0.0115304,0.0667531,0.165438
641.267,0.00980102,0.0592928,0.156359
658.754,0.00829801,0.0523971,0.146615
676.165,0.0069978,0.0460704,0.136445
693.482,0.00587813,0.0403067,0.126064
710.689,0.00491829,0.0350917,0.115662
727.768,0.00409913,0.030404,0.105406
744.704,0.00340313,0.0262169,0.0954341
761.48,0.00281436,0.0224998,0.0858592
778.08,0.00231846,0.0192197,0.0767694
794.488,0.00190258,0.0163421,0.0682299
810.687,0.00155531,0.0138317,0.0602846
826.662,0.00126655,0.011654,0.0529588
842.398,0.00102747,0.00977511,0.0462616
857.879,0.000830338,0.00816262,0.0401882
873.09,0.000668479,0.00678602,0.0347229
888.016,0.000536132,0.00561685,0.0298408
902.644,0.00042836,0.00462888,0.0255105
916.958,0.00034096,0.0037982,0.0216957
930.945,0.000270371,0.00310321,0.0183572
944.591,0.00021359,0.00252457,0.0154543
957.882,0.000168101,0.00204511,0.0129457
970.807,0.000131804,0.00164972,0.010791
983.351,0.000102958,0.00132519,0.00895118
995.503,8.01257e-05,0.00106006,0.00738935
1007.25,6.21243e-05,0.00084445,0.00607098
1018.58,4.79881e-05,0.000669916,0.0049643
1029.48,3.6931e-05,0.000529268,0.00404038
1039.95,2.83162e-05,0.000416436,0.00327316
1049.97,2.16306e-05,0.000326321,0.00263943
1059.52,1.64624e-05,0.000254667,0.00211867
1068.61,1.24828e-05,0.000197941,0.00169293
1077.21,9.43028e-06,0.000153228,0.00134663
1085.33,7.09787e-06,0.000118135,0.00106633
1092.94,5.32255e-06,9.07105e-05,0.000840556
1100.04,3.9764e-06,6.93685e-05,0.000659574
1106.62,2.95951e-06,5.28285e-05,0.000515169
1112.67,2.19418e-06,4.00617e-05,0.000400465
1118.16,1.62023e-06,3.02453e-05,0.000309739
1123.07,1.19125e-06,2.27242e-05,0.000238255
1127.38,8.7156e-07,1.69794e-05,0.000182113
1131.01,6.3384e-07,1.26007e-05,0.000138116
1133.81,4.57201e-07,9.26513e-06,0.000103651
1136.35,3.25693e-07,6.71832e-06,7.65826e-05
1139.81,2.27092e-07,4.75939e-06,5.51609e-05
1144.33,1.51986e-07,3.22834e-06,3.79385e-05
1150.12,9.29747e-08,1.99532e-06,2.36963e-05
1157.97,4.4044e-08,9.51404e-07,1.13735e-05
