eigenvalues,eigenvector1,eigenvector2,eigenvector3
0.840705,0.00205877,-0.00538121,0.00927789
2.17319,0.00421522,-0.0110002,0.0189188
4.23482,0.00646733,-0.0168328,0.0288316
7.05542,0.00881283,-0.0228536,0.038921
10.6444,0.0112492,-0.0290355,0.0490882
15.0041,0.0137739,-0.0353502,0.0592319
20.1331,0.0163837,-0.0417683,0.0692495
26.0285,0.0190757,-0.0482594,0.0790383
32.6855,0.0218465,-0.054792,0.0884958
40.0985,0.0246924,-0.0613343,0.0975217
48.2609,0.0276096,-0.0678535,0.106018
57.1653,0.0305942,-0.0743167,0.113892
66.8032,0.0336421,-0.0806907,0.121053
77.1657,0.0367487,-0.0869423,0.127419
88.2428,0.0399095,-0.0930382,0.132913
100.024,0.0431199,-0.0989457,0.137466
112.498,0.0463748,-0.104632,0.141018
125.653,0.0496692,-0.110066,0.143517
139.477,0.0529979,-0.115217,0.144921
153.955,0.0563555,-0.120054,0.145199
169.074,0.0597365,-0.124549,0.14433
184.82,0.0631353,-0.128675,0.142302
201.177,0.066546,-0.132404,0.139118
218.129,0.069963,-0.135714,0.13479
235.661,0.0733801,-0.13858,0.129341
253.754,0.0767913,-0.140983,0.122806
272.393,0.0801906,-0.142904,0.11523
291.558,0.0835717,-0.144326,0.10667
311.231,0.0869284,-0.145234,0.0971907
331.394,0.0902545,-0.145617,0.0868691
352.026,0.0935436,-0.145464,0.0757893
373.108,0.0967894,-0.144769,0.064044
394.62,0.0999856,-0.143527,0.0517331
416.539,0.103126,-0.141737,0.038963
438.847,0.106204,-0.139397,0.0258453
461.52,0.109213,-0.136513,0.0124959
484.537,0.112148,-0.133089,-0.000966004
507.876,0.115002,-0.129135,-0.0144192
531.513,0.117769,-0.124662,-0.0277415
555.427,0.120442,-0.119682,-0.0408111
579.594,0.123017,-0.114214,-0.0535077
603.991,0.125487,-0.108275,-0.0657137
628.594,0.127846,-0.101887,-0.0773152
653.379,0.13009,-0.0950746,-0.0882033
678.322,0.132212,-0.0878625,-0.0982754
703.4,0.134207,-0.0802791,-0.107436
728.588,0.13607,-0.0723547,-0.115597
753.861,0.137796,-0.0641213,-0.12268
779.195,0.139381,-0.0556126,-0.128617
804.566,0.140819,-0.0468639,-0.133349
829.949,0.142107,-0.0379121,-0.136829
855.32,0.143241,-0.0287953,-0.139023
880.654,0.144216,-0.0195526,-0.139906
905.926,0.145028,-0.010224,-0.139468
931.112,0.145675,-0.000850338,-0.13771
956.187,0.146154,0.00852706,-0.134648
981.129,0.14646,0.0178666,-0.130307
1005.91,0.146593,0.0271265,-0.124728
1030.51,0.146549,0.0362652,-0.117961
1054.9,0.146326,0.0452412,-0.110068
1079.07,0.145923,0.0540137,-0.101125
1102.98,0.145337,0.0625425,-0.0912138
1126.61,0.144569,0.0707883,-0.0804293
1149.94,0.143617,0.0787128,-0.0688735
1172.95,0.14248,0.0862792,-0.0566564
1195.62,0.141159,0.0934521,-0.0438946
1217.92,0.139653,0.100198,-0.0307102
1239.83,0.137963,0.106484,-0.0172299
1261.34,0.13609,0.11228,-0.00358334
1282.41,0.134034,0.11756,0.0100978
1303.03,0.131797,0.122297,0.0236813
1323.19,0.129381,0.126468,0.0370357
1342.85,0.126787,0.130054,0.0500312
1362,0.124019,0.133035,0.0625416
1380.63,0.121079,0.135397,0.0744449
1398.71,0.11797,0.137127,0.085625
1416.23,0.114694,0.138218,0.0959725
1433.17,0.111257,0.138661,0.105386
1449.51,0.107661,0.138454,0.113773
1465.24,0.103912,0.137598,0.121051
1480.34,0.100013,0.136094,0.127148
1494.81,0.0959694,0.133949,0.132004
1508.61,0.0917865,0.131172,0.13557
1521.74,0.0874696,0.127775,0.13781
1534.2,0.0830244,0.123773,0.138702
1545.95,0.0784569,0.119185,0.138236
1557,0.0737732,0.114032,0.136415
1567.34,0.0689799,0.108336,0.133257
1576.95,0.0640836,0.102125,0.128791
1585.82,0.0590911,0.0954271,0.123061
1593.94,0.0540098,0.088274,0.116122
1601.31,0.0488468,0.0806993,0.108041
1607.93,0.0436096,0.0727385,0.0988983
1613.77,0.0383061,0.0644295,0.0887821
1618.84,0.032944,0.0558116,0.0777916
1623.12,0.0275314,0.0469259,0.0660348
1626.62,0.0220765,0.0378146,0.053627
1629.33,0.0165874,0.0285215,0.0406903
1631.23,0.0110726,0.0190911,0.0273522
1632.33,0.00554062,0.00956863,0.013744
