      timestep,PE,KE
0,3.2908871e+38,1.6650792e+38
100,3.3040809e+38,1.6782716e+38
200,3.3170407e+38,1.6912311e+38
300,3.3296529e+38,1.7038443e+38
400,3.3417951e+38,1.7159887e+38
500,3.3533608e+38,1.7275556e+38
600,3.3642481e+38,1.7384421e+38
700,3.3743495e+38,1.7485423e+38
800,3.3835621e+38,1.7577539e+38
900,3.3918e+38,1.765991e+38
1000,3.398974e+38,1.7731664e+38
1100,3.4048874e+38,1.7790825e+38
1200,3.4096176e+38,1.7838134e+38
1300,3.4130723e+38,1.7872679e+38
1400,3.4152064e+38,1.7894016e+38
1500,3.4159949e+38,1.7901894e+38
1600,3.4154341e+38,1.7896276e+38
1700,3.413702e+38,1.7878948e+38
1800,3.4102505e+38,1.7844462e+38
1900,3.405694e+38,1.7798916e+38
2000,3.3999059e+38,1.7741049e+38
2100,3.3929472e+38,1.7671473e+38
2200,3.3848946e+38,1.7590954e+38
2300,3.3758355e+38,1.7500365e+38
2400,3.3658661e+38,1.7400669e+38
2500,3.3550896e+38,1.7292897e+38
2600,3.3436141e+38,1.7178132e+38
2700,3.3315514e+38,1.705749e+38
2800,3.3190166e+38,1.6932124e+38
2900,3.3061556e+38,1.6803488e+38
3000,3.2929612e+38,1.6671584e+38
3100,3.2796336e+38,1.6538316e+38
3200,3.2662771e+38,1.6404755e+38
3300,3.2529808e+38,1.6271795e+38
3400,3.2398374e+38,1.6140364e+38
3500,3.2269354e+38,1.6011347e+38
3600,3.2143579e+38,1.5885575e+38
3700,3.2021829e+38,1.5763824e+38
3800,3.1904836e+38,1.5646821e+38
3900,3.1793267e+38,1.553523e+38
4000,3.1687426e+38,1.5429371e+38
4100,3.158792e+38,1.5329863e+38
4200,3.1495436e+38,1.5237383e+38
4300,3.1410367e+38,1.5152321e+38
4400,3.1333065e+38,1.5075031e+38
4500,3.126384e+38,1.500582e+38
4600,3.1202948e+38,1.4944935e+38
4700,3.1150615e+38,1.4892595e+38
4800,3.1107063e+38,1.484903e+38
4900,3.1072476e+38,1.4814432e+38
5000,3.1046991e+38,1.4788938e+38
5100,3.103072e+38,1.4772663e+38
5200,3.1023789e+38,1.4765732e+38
5300,3.1026001e+38,1.476796e+38
5400,3.1037113e+38,1.4779094e+38
5500,3.1057554e+38,1.4799544e+38
5600,3.1087188e+38,1.4829179e+38
5700,3.1125872e+38,1.486786e+38
5800,3.117345e+38,1.4915436e+38
5900,3.122974e+38,1.4971723e+38
6000,3.1294527e+38,1.5036506e+38
6100,3.1367567e+38,1.5109542e+38
6200,3.144865e+38,1.5190617e+38
6300,3.1537572e+38,1.5279573e+38
6400,3.1632653e+38,1.5374681e+38
6500,3.1734949e+38,1.5477002e+38
6600,3.1843525e+38,1.558561e+38
6700,3.195779e+38,1.5699926e+38
6800,3.2077122e+38,1.5819371e+38
6900,3.2200844e+38,1.5943957e+38
7000,3.2328223e+38,1.6070584e+38
7100,3.2458455e+38,1.6200628e+38
7200,3.2590685e+38,1.6332799e+38
7300,3.2724001e+38,1.6466088e+38
7400,3.2857434e+38,1.6599509e+38
7500,3.298997e+38,1.6732041e+38
7600,3.3120548e+38,1.6862624e+38
7700,3.324808e+38,1.6990169e+38
7800,3.337145e+38,1.7113568e+38
7900,3.3489538e+38,1.7231717e+38
8000,3.3601223e+38,1.734361e+38
8100,3.3705405e+38,1.7448395e+38
8200,3.3801034e+38,1.7543284e+38
8300,3.3887102e+38,1.7629241e+38
8400,3.3962685e+38,1.7704777e+38
8500,3.4026947e+38,1.7769014e+38
8600,3.4079165e+38,1.7821216e+38
8700,3.4118739e+38,1.786078e+38
8800,3.414521e+38,1.7887244e+38
8900,3.4158266e+38,1.7900296e+38
9000,3.4157754e+38,1.7899781e+38
9100,3.414368e+38,1.7885704e+38
9200,3.4116209e+38,1.7858233e+38
9300,3.4075663e+38,1.7817688e+38
9400,3.4022514e+38,1.776454e+38
9500,3.395737e+38,1.76994e+38
9600,3.3880964e+38,1.7622999e+38
9700,3.3794139e+38,1.7536181e+38
9800,3.3697828e+38,1.7439881e+38
9900,3.3593038e+38,1.7335107e+38
10000,3.3480831e+38,1.7222926e+38
10100,3.3362305e+38,1.7104452e+38
10200,3.3238579e+38,1.6980872e+38
10300,3.3110777e+38,1.6854349e+38
10400,3.2980012e+38,1.6722255e+38
10500,3.2847372e+38,1.6589508e+38
10600,3.2713911e+38,1.6456006e+38
10700,3.2580642e+38,1.6322717e+38
10800,3.2448529e+38,1.6190594e+38
10900,3.2318481e+38,1.6060542e+38
11000,3.219135e+38,1.5933411e+38
11100,3.2067926e+38,1.5809995e+38
11200,3.1948942e+38,1.5691024e+38
11300,3.1835066e+38,1.5577173e+38
11400,3.1726908e+38,1.5469063e+38
11500,3.162502e+38,1.536729e+38
11600,3.1529897e+38,1.5272645e+38
11700,3.1441983e+38,1.5184439e+38
11800,3.1361678e+38,1.5103886e+38
11900,3.1289318e+38,1.5031443e+38
12000,3.1225202e+38,1.4967284e+38
12100,3.1169588e+38,1.4911644e+38
12200,3.1122701e+38,1.4864737e+38
12300,3.1084744e+38,1.4826764e+38
12400,3.1056104e+38,1.4798105e+38
12500,3.1036059e+38,1.4778013e+38
12600,3.1025192e+38,1.476714e+38
12700,3.1023718e+38,1.4765664e+38
12800,3.1031534e+38,1.4773479e+38
12900,3.1048609e+38,1.4790557e+38
13000,3.1074984e+38,1.4816938e+38
13100,3.1110566e+38,1.4852493e+38
13200,3.1154299e+38,1.4896217e+38
13300,3.1207199e+38,1.4949113e+38
13400,3.1268733e+38,1.5010648e+38
13500,3.1338673e+38,1.5080592e+38
13600,3.1417947e+38,1.5159883e+38
13700,3.1502206e+38,1.5244148e+38
13800,3.1595018e+38,1.5336955e+38
13900,3.1694837e+38,1.5436773e+38
14000,3.1801129e+38,1.5543065e+38
