      timestep,PE,KE
0,3.2853691e+38,8.5388804e+37
100,3.3100904e+38,8.7860798e+37
200,3.3589674e+38,9.274846e+37
300,3.43449e+38,1.0030078e+38
400,3.5407484e+38,1.1092679e+38
500,3.6839921e+38,1.2525143e+38
600,3.8735712e+38,1.4420949e+38
700,4.1235093e+38,1.6920316e+38
800,4.4551028e+38,2.0236236e+38
900,4.9010849e+38,2.4696056e+38
1000,5.5114435e+38,3.0799653e+38
1100,6.3560975e+38,3.9246212e+38
1200,7.4919826e+38,5.060507e+38
1300,8.7625821e+38,6.3311038e+38
1400,9.3853805e+38,6.9539053e+38
1500,8.6861618e+38,6.2546964e+38
1600,7.4085631e+38,4.9771078e+38
1700,6.2916488e+38,3.8601789e+38
1800,5.464847e+38,3.5236053e+38
1900,4.8672588e+38,2.9260169e+38
2000,4.430011e+38,2.4887689e+38
2100,4.1044958e+38,2.1632536e+38
2200,3.8589195e+38,1.9176772e+38
2300,3.6725809e+38,1.7313386e+38
2400,3.5318279e+38,1.5905855e+38
2500,3.4275486e+38,1.4863062e+38
2600,3.3536563e+38,1.4124139e+38
2700,3.3061756e+38,1.3649332e+38
2800,3.282698e+38,1.3414556e+38
2900,3.2820742e+38,1.3408318e+38
3000,3.3042741e+38,1.3630316e+38
3100,3.3503828e+38,1.4091404e+38
3200,3.4227336e+38,1.4814911e+38
3300,3.5252037e+38,1.5839613e+38
3400,3.6637443e+38,1.7225019e+38
3500,3.8472678e+38,1.9060255e+38
3600,4.0891228e+38,2.1478805e+38
3700,4.4095332e+38,2.4682911e+38
3800,4.8395453e+38,2.8983032e+38
3900,5.4266859e+38,3.4854439e+38
4000,6.2386772e+38,4.2974347e+38
4100,7.3387473e+38,5.3975018e+38
4200,8.6169137e+38,6.675658e+38
4300,9.3729393e+38,7.4316712e+38
4400,8.8169905e+38,6.8757321e+38
4500,7.5576186e+38,5.6163721e+38
4600,6.408291e+38,4.4670482e+38
4700,5.5494965e+38,3.6082544e+38
4800,4.9286581e+38,2.987416e+38
4900,4.4753088e+38,2.5340666e+38
5000,4.1384618e+38,2.1972196e+38
5100,3.8846498e+38,1.9434075e+38
5200,3.6921021e+38,1.7508597e+38
5300,3.5464853e+38,1.6052428e+38
5400,3.4382429e+38,1.4970004e+38
5500,3.3609859e+38,1.4197434e+38
5600,3.3105225e+38,1.36928e+38
5700,3.2842779e+38,1.3430355e+38
5800,3.2809637e+38,1.3397212e+38
5900,3.3004194e+38,1.3591769e+38
6000,3.3435938e+38,1.4023514e+38
6100,3.41266e+38,1.4714176e+38
6200,3.5112898e+38,1.5700474e+38
6300,3.6451501e+38,1.7039077e+38
6400,3.8227389e+38,1.8814966e+38
6500,4.0567738e+38,2.1155315e+38
6600,4.3664907e+38,2.4252485e+38
6700,4.7813832e+38,2.8401411e+38
6800,5.3467032e+38,3.4054611e+38
6900,6.1279927e+38,4.1867503e+38
7000,7.193142e+38,5.2518972e+38
7100,8.471581e+38,6.530327e+38
7200,9.3468723e+38,7.4056048e+38
7300,8.9420789e+38,7.0008186e+38
7400,7.7102653e+38,5.7690179e+38
7500,6.5294441e+38,4.5882011e+38
7600,5.6374988e+38,3.6962567e+38
7700,4.9923922e+38,3.0511501e+38
7800,4.5222285e+38,2.5809863e+38
7900,4.1735851e+38,2.2323429e+38
8000,3.9112354e+38,1.9699931e+38
8100,3.7122794e+38,1.7710371e+38
8200,3.5616659e+38,1.6204235e+38
8300,3.4493714e+38,1.508129e+38
8400,3.3686913e+38,1.4274489e+38
8500,3.3152093e+38,1.3739668e+38
8600,3.2861798e+38,1.3449373e+38
8700,3.2801728e+38,1.3389304e+38
8800,3.2968977e+38,1.3556552e+38
8900,3.3371681e+38,1.3959257e+38
9000,3.403001e+38,1.4617585e+38
9100,3.4978693e+38,1.5566268e+38
9200,3.6271675e+38,1.6859251e+38
9300,3.7989983e+38,1.857756e+38
9400,4.02548e+38,2.0842377e+38
9500,4.3249126e+38,2.3836704e+38
9600,4.725316e+38,2.7840739e+38
9700,5.2697481e+38,3.328506e+38
