      timestep,PE,KE
0,3.9827931e+35,2.0038979e+35
100,4.0148792e+35,2.0359695e+35
200,4.0470212e+35,2.0680544e+35
300,4.0716804e+35,2.0926537e+35
400,4.0902122e+35,2.1111131e+35
500,4.1055319e+35,2.1263579e+35
600,4.1069708e+35,2.1277411e+35
700,4.1023371e+35,2.123053e+35
800,4.0941007e+35,2.1147709e+35
900,4.0720465e+35,2.092681e+35
1000,4.0498672e+35,2.0704662e+35
1100,4.0224899e+35,2.0430641e+35
1200,3.9889663e+35,2.0095152e+35
1300,3.9633527e+35,1.983876e+35
1400,3.9314282e+35,1.9519404e+35
1500,3.9023867e+35,1.9228832e+35
1600,3.8824729e+35,1.9029508e+35
1700,3.8583299e+35,1.8788044e+35
1800,3.8445116e+35,1.8649775e+35
1900,3.8365837e+35,1.8570379e+35
2000,3.8280476e+35,1.8485018e+35
2100,3.8302314e+35,1.8506838e+35
2200,3.8371216e+35,1.857568e+35
2300,3.8477728e+35,1.8682205e+35
2400,3.8653473e+35,1.8857969e+35
2500,3.8867232e+35,1.907171e+35
2600,3.9114747e+35,1.9319275e+35
2700,3.9421705e+35,1.9626258e+35
2800,3.9746662e+35,1.9951262e+35
2900,4.0054991e+35,2.0259685e+35
3000,4.0412381e+35,2.0617063e+35
3100,4.0718475e+35,2.092331e+35
3200,4.0982009e+35,2.1186997e+35
3300,4.1263945e+35,2.146894e+35
3400,4.1394651e+35,2.1599882e+35
3500,4.1480034e+35,2.1685454e+35
3600,4.153036e+35,2.1735888e+35
3700,4.1412769e+35,2.1618596e+35
3800,4.1281446e+35,2.1487528e+35
3900,4.1060208e+35,2.126655e+35
4000,4.0742633e+35,2.0949344e+35
4100,4.0462542e+35,2.0669606e+35
4200,4.0100398e+35,2.0307922e+35
4300,3.9739103e+35,1.9947146e+35
4400,3.9425675e+35,1.9634227e+35
4500,3.9073563e+35,1.9282819e+35
4600,3.8794369e+35,1.900436e+35
4700,3.8569906e+35,1.8780569e+35
4800,3.8343779e+35,1.8555287e+35
4900,3.8192368e+35,1.8404567e+35
5000,3.8114977e+35,1.8327491e+35
5100,3.8064938e+35,1.8277541e+35
5200,3.8080068e+35,1.8292322e+35
5300,3.8171539e+35,1.8383033e+35
5400,3.8272999e+35,1.8483696e+35
5500,3.8460686e+35,1.8670485e+35
5600,3.8704703e+35,1.8913633e+35
5700,3.8933145e+35,1.9141382e+35
5800,3.925594e+35,1.9463425e+35
5900,3.9553933e+35,1.9760899e+35
6000,3.9844592e+35,2.0051153e+35
6100,4.0204965e+35,2.0410957e+35
6200,4.0439441e+35,2.0645207e+35
6300,4.0666926e+35,2.087244e+35
6400,4.0879044e+35,2.1084176e+35
6500,4.0936878e+35,2.1141949e+35
6600,4.0985443e+35,2.1190336e+35
6700,4.0933519e+35,2.1138213e+35
6800,4.0765973e+35,2.0970658e+35
6900,4.0590578e+35,2.0795111e+35
7000,4.0326918e+35,2.0531396e+35
7100,4.0026229e+35,2.0230711e+35
7200,3.9724829e+35,1.9929196e+35
7300,3.9388517e+35,1.9592931e+35
7400,3.9074533e+35,1.9278965e+35
7500,3.8810327e+35,1.9014656e+35
7600,3.8545452e+35,1.874991e+35
7700,3.8314548e+35,1.851905e+35
7800,3.8180398e+35,1.8384837e+35
7900,3.8051639e+35,1.825623e+35
8000,3.7987642e+35,1.8192283e+35
8100,3.8026754e+35,1.8231379e+35
8200,3.8044891e+35,1.8249677e+35
8300,3.8170577e+35,1.8375425e+35
8400,3.8368173e+35,1.8573098e+35
8500,3.8551039e+35,1.8756153e+35
8600,3.8852833e+35,1.9058031e+35
8700,3.9143328e+35,1.9348747e+35
8800,3.945272e+35,1.9658424e+35
