x,y,z,vx,vy,vz
0,0,0,0,0,0
1.44232e+11,3.68873e+10,1.1003e+07,-7643.96,28791.6,-1.97718
3.73763e+11,-6.68011e+11,-5.59101e+09,11241.3,6999.73,-280.515
0,0,0,0,0,0
1.43843e+11,3.8325e+10,1.09035e+07,-7933.63,28715.9,-2.00008
3.74325e+11,-6.67661e+11,-5.60504e+09,11235.8,7009.61,-280.432
0,0,0,0,0,0
1.43439e+11,3.97588e+10,1.0803e+07,-8222.59,28637.2,-2.02278
3.74886e+11,-6.6731e+11,-5.61906e+09,11230.2,7019.49,-280.349
0,0,0,0,0,0
1.43021e+11,4.11887e+10,1.07013e+07,-8510.8,28555.6,-2.04529
3.75448e+11,-6.66959e+11,-5.63307e+09,11224.7,7029.36,-280.266
0,0,0,0,0,0
1.42588e+11,4.26144e+10,1.05984e+07,-8798.23,28471.2,-2.06759
3.76009e+11,-6.66607e+11,-5.64708e+09,11219.1,7039.23,-280.182
0,0,0,0,0,0
1.42141e+11,4.40358e+10,1.04945e+07,-9084.85,28383.8,-2.08968
3.76569e+11,-6.66255e+11,-5.66109e+09,11213.5,7049.09,-280.099
0,0,0,0,0,0
1.41679e+11,4.54528e+10,1.03895e+07,-9370.64,28293.6,-2.11157
3.7713e+11,-6.65902e+11,-5.67509e+09,11207.9,7058.95,-280.015
0,0,0,0,0,0
1.41204e+11,4.68652e+10,1.02833e+07,-9655.57,28200.5,-2.13325
3.7769e+11,-6.65549e+11,-5.68909e+09,11202.4,7068.81,-279.931
0,0,0,0,0,0
1.40714e+11,4.82728e+10,1.01761e+07,-9939.61,28104.5,-2.15472
3.7825e+11,-6.65195e+11,-5.70309e+09,11196.8,7078.66,-279.846
0,0,0,0,0,0
1.4021e+11,4.96756e+10,1.00679e+07,-10222.7,28005.7,-2.17597
3.7881e+11,-6.64841e+11,-5.71708e+09,11191.2,7088.51,-279.762
0,0,0,0,0,0
1.39691e+11,5.10734e+10,9.95855e+06,-10504.9,27904,-2.19701
3.79369e+11,-6.64486e+11,-5.73106e+09,11185.5,7098.35,-279.677
0,0,0,0,0,0
1.39159e+11,5.2466e+10,9.84817e+06,-10786.1,27799.5,-2.21783
3.79928e+11,-6.64131e+11,-5.74504e+09,11179.9,7108.19,-279.592
0,0,0,0,0,0
1.38613e+11,5.38534e+10,9.73676e+06,-11066.3,27692.1,-2.23843
3.80487e+11,-6.63775e+11,-5.75902e+09,11174.3,7118.03,-279.507
0,0,0,0,0,0
1.38053e+11,5.52352e+10,9.62433e+06,-11345.4,27581.9,-2.25881
3.81046e+11,-6.63419e+11,-5.77299e+09,11168.6,7127.86,-279.421
0,0,0,0,0,0
1.37478e+11,5.66116e+10,9.51088e+06,-11623.5,27468.9,-2.27896
3.81604e+11,-6.63063e+11,-5.78696e+09,11163,7137.69,-279.336
0,0,0,0,0,0
1.3689e+11,5.79821e+10,9.39643e+06,-11900.5,27353.1,-2.29889
3.82162e+11,-6.62705e+11,-5.80093e+09,11157.3,7147.51,-279.25
0,0,0,0,0,0
1.36288e+11,5.93469e+10,9.28099e+06,-12176.3,27234.5,-2.31858
3.8272e+11,-6.62348e+11,-5.81489e+09,11151.7,7157.33,-279.164
0,0,0,0,0,0
1.35673e+11,6.07056e+10,9.16457e+06,-12451,27113.2,-2.33805
3.83277e+11,-6.6199e+11,-5.82884e+09,11146,7167.15,-279.077
0,0,0,0,0,0
1.35043e+11,6.20582e+10,9.04719e+06,-12724.6,26989,-2.35728
3.83835e+11,-6.61631e+11,-5.8428e+09,11140.3,7176.96,-278.991
0,0,0,0,0,0
1.344e+11,6.34045e+10,8.92885e+06,-12996.9,26862.1,-2.37628
3.84391e+11,-6.61272e+11,-5.85674e+09,11134.6,7186.77,-278.904
0,0,0,0,0,0
1.33743e+11,6.47444e+10,8.80956e+06,-13268,26732.4,-2.39504
3.84948e+11,-6.60912e+11,-5.87069e+09,11128.9,7196.57,-278.817
0,0,0,0,0,0
1.33073e+11,6.60777e+10,8.68934e+06,-13537.9,26600,-2.41356
3.85504e+11,-6.60552e+11,-5.88462e+09,11123.2,7206.37,-278.73
0,0,0,0,0,0
1.3239e+11,6.74044e+10,8.5682e+06,-13806.4,26464.8,-2.43184
3.8606e+11,-6.60192e+11,-5.89856e+09,11117.5,7216.16,-278.643
0,0,0,0,0,0
1.31693e+11,6.87242e+10,8.44616e+06,-14073.6,26326.9,-2.44987
3.86616e+11,-6.59831e+11,-5.91249e+09,11111.7,7225.95,-278.555
0,0,0,0,0,0
1.30982e+11,7.00371e+10,8.32322e+06,-14339.5,26186.4,-2.46766
3.87171e+11,-6.59469e+11,-5.92641e+09,11106,7235.74,-278.467
0,0,0,0,0,0
1.30259e+11,7.13429e+10,8.19939e+06,-14604,26043.1,-2.48521
3.87727e+11,-6.59107e+11,-5.94034e+09,11100.2,7245.52,-278.379
0,0,0,0,0,0
1.29522e+11,7.26414e+10,8.0747e+06,-14867.2,25897.1,-2.5025
3.88282e+11,-6.58745e+11,-5.95425e+09,11094.5,7255.3,-278.291
0,0,0,0,0,0
1.28772e+11,7.39326e+10,7.94914e+06,-15128.8,25748.5,-2.51955
3.88836e+11,-6.58382e+11,-5.96816e+09,11088.7,7265.07,-278.203
0,0,0,0,0,0
1.28009e+11,7.52162e+10,7.82274e+06,-15389.1,25597.2,-2.53634
3.8939e+11,-6.58018e+11,-5.98207e+09,11082.9,7274.84,-278.114
0,0,0,0,0,0
1.27233e+11,7.64923e+10,7.69551e+06,-15647.8,25443.3,-2.55288
3.89944e+11,-6.57654e+11,-5.99598e+09,11077.2,7284.61,-278.025
0,0,0,0,0,0
1.26444e+11,7.77606e+10,7.56745e+06,-15905.1,25286.8,-2.56916
3.90498e+11,-6.5729e+11,-6.00988e+09,11071.4,7294.37,-277.936
0,0,0,0,0,0
1.25643e+11,7.9021e+10,7.43859e+06,-16160.8,25127.6,-2.58518
3.91052e+11,-6.56925e+11,-6.02377e+09,11065.6,7304.13,-277.847
0,0,0,0,0,0
1.24828e+11,8.02733e+10,7.30894e+06,-16414.9,24965.9,-2.60094
3.91605e+11,-6.56559e+11,-6.03766e+09,11059.8,7313.88,-277.757
0,0,0,0,0,0
1.24001e+11,8.15176e+10,7.1785e+06,-16667.5,24801.5,-2.61644
3.92158e+11,-6.56193e+11,-6.05155e+09,11053.9,7323.63,-277.667
0,0,0,0,0,0
1.23161e+11,8.27535e+10,7.04729e+06,-16918.4,24634.6,-2.63168
3.9271e+11,-6.55827e+11,-6.06543e+09,11048.1,7333.37,-277.577
0,0,0,0,0,0
1.22309e+11,8.3981e+10,6.91533e+06,-17167.7,24465.2,-2.64665
3.93262e+11,-6.5546e+11,-6.0793e+09,11042.3,7343.11,-277.487
0,0,0,0,0,0
1.21445e+11,8.52e+10,6.78263e+06,-17415.4,24293.2,-2.66136
3.93814e+11,-6.55093e+11,-6.09318e+09,11036.4,7352.85,-277.397
0,0,0,0,0,0
1.20568e+11,8.64103e+10,6.64919e+06,-17661.3,24118.7,-2.6758
3.94366e+11,-6.54725e+11,-6.10704e+09,11030.6,7362.58,-277.306
0,0,0,0,0,0
1.19679e+11,8.76119e+10,6.51505e+06,-17905.5,23941.6,-2.68997
3.94917e+11,-6.54356e+11,-6.12091e+09,11024.7,7372.31,-277.215
0,0,0,0,0,0
1.18777e+11,8.88045e+10,6.3802e+06,-18148,23762.1,-2.70386
3.95468e+11,-6.53988e+11,-6.13476e+09,11018.8,7382.03,-277.124
0,0,0,0,0,0
1.17864e+11,8.99881e+10,6.24466e+06,-18388.7,23580.1,-2.71749
3.96019e+11,-6.53618e+11,-6.14862e+09,11012.9,7391.75,-277.033
0,0,0,0,0,0
1.16938e+11,9.11625e+10,6.10845e+06,-18627.6,23395.7,-2.73084
3.9657e+11,-6.53248e+11,-6.16247e+09,11007.1,7401.46,-276.941
0,0,0,0,0,0
1.16001e+11,9.23277e+10,5.97158e+06,-18864.7,23208.8,-2.74391
3.9712e+11,-6.52878e+11,-6.17631e+09,11001.2,7411.17,-276.849
0,0,0,0,0,0
1.15052e+11,9.34834e+10,5.83406e+06,-19100,23019.5,-2.7567
3.9767e+11,-6.52507e+11,-6.19015e+09,10995.2,7420.88,-276.758
0,0,0,0,0,0
1.14091e+11,9.46296e+10,5.69591e+06,-19333.3,22827.8,-2.76922
