x,y,z,vx,vy,vz
-3.543e+09,6.32525e+09,5.29875e+07,-106.387,-66.352,2.65593
1.41593e+11,4.22452e+10,5.09799e+07,-7737.64,28733.9,0.299616
3.71124e+11,-6.62653e+11,-5.55104e+09,11147.6,6942.06,-278.238
-3.54832e+09,6.32193e+09,5.31202e+07,-106.333,-66.4457,2.65514
1.41199e+11,4.36801e+10,5.09949e+07,-8025.43,28661.1,0.30285
3.71681e+11,-6.62305e+11,-5.56495e+09,11142.1,6951.9,-278.156
-3.55363e+09,6.31861e+09,5.3253e+07,-106.279,-66.5394,2.65435
1.40791e+11,4.51113e+10,5.10102e+07,-8312.57,28585.3,0.306322
3.72238e+11,-6.61958e+11,-5.57885e+09,11136.6,6961.74,-278.073
-3.55894e+09,6.31528e+09,5.33857e+07,-106.226,-66.6331,2.65356
1.40368e+11,4.65386e+10,5.10256e+07,-8599.05,28506.7,0.310032
3.72794e+11,-6.61609e+11,-5.59275e+09,11131,6971.58,-277.99
-3.56425e+09,6.31194e+09,5.35183e+07,-106.172,-66.7267,2.65277
1.39931e+11,4.7962e+10,5.10412e+07,-8884.81,28425.1,0.31398
3.73351e+11,-6.6126e+11,-5.60665e+09,11125.5,6981.41,-277.907
-3.56956e+09,6.3086e+09,5.36509e+07,-106.118,-66.8203,2.65197
1.39479e+11,4.93811e+10,5.1057e+07,-9169.85,28340.7,0.318166
3.73907e+11,-6.60911e+11,-5.62054e+09,11119.9,6991.24,-277.823
-3.57487e+09,6.30526e+09,5.37835e+07,-106.064,-66.9138,2.65117
1.39014e+11,5.0796e+10,5.1073e+07,-9454.12,28253.5,0.322588
3.74463e+11,-6.60561e+11,-5.63443e+09,11114.4,7001.07,-277.739
-3.58017e+09,6.30191e+09,5.39161e+07,-106.01,-67.0073,2.65037
1.38534e+11,5.22065e+10,5.10892e+07,-9737.6,28163.4,0.327248
3.75018e+11,-6.60211e+11,-5.64832e+09,11108.8,7010.89,-277.656
-3.58547e+09,6.29856e+09,5.40486e+07,-105.956,-67.1007,2.64957
1.3804e+11,5.36124e+10,5.11057e+07,-10020.3,28070.4,0.332144
3.75574e+11,-6.5986e+11,-5.6622e+09,11103.2,7020.71,-277.571
-3.59076e+09,6.2952e+09,5.4181e+07,-105.902,-67.1941,2.64876
1.37532e+11,5.50135e+10,5.11224e+07,-10302.1,27974.5,0.337277
3.76129e+11,-6.59509e+11,-5.67607e+09,11097.6,7030.52,-277.487
-3.59606e+09,6.29184e+09,5.43134e+07,-105.847,-67.2874,2.64795
1.3701e+11,5.64098e+10,5.11394e+07,-10583,27875.9,0.342645
3.76683e+11,-6.59157e+11,-5.68995e+09,11092,7040.33,-277.403
-3.60135e+09,6.28847e+09,5.44458e+07,-105.793,-67.3807,2.64715
1.36474e+11,5.78011e+10,5.11567e+07,-10863,27774.4,0.348249
3.77238e+11,-6.58805e+11,-5.70381e+09,11086.4,7050.13,-277.318
-3.60664e+09,6.2851e+09,5.45782e+07,-105.739,-67.474,2.64633
1.35923e+11,5.91873e+10,5.11743e+07,-11142.1,27670,0.354088
3.77792e+11,-6.58452e+11,-5.71768e+09,11080.8,7059.93,-277.233
-3.61192e+09,6.28173e+09,5.47105e+07,-105.684,-67.5671,2.64552
1.35359e+11,6.05681e+10,5.11921e+07,-11420.2,27562.9,0.360162
3.78346e+11,-6.58099e+11,-5.73154e+09,11075.2,7069.73,-277.148
-3.6172e+09,6.27835e+09,5.48427e+07,-105.629,-67.6603,2.64471
1.34781e+11,6.19435e+10,5.12103e+07,-11697.4,27452.9,0.36647
3.789e+11,-6.57745e+11,-5.74539e+09,11069.5,7079.52,-277.062
-3.62249e+09,6.27496e+09,5.49749e+07,-105.575,-67.7534,2.64389
1.3419e+11,6.33134e+10,5.12288e+07,-11973.5,27340.1,0.373011
3.79453e+11,-6.57391e+11,-5.75924e+09,11063.9,7089.31,-276.977
-3.62776e+09,6.27157e+09,5.51071e+07,-105.52,-67.8464,2.64307
1.33584e+11,6.46776e+10,5.12476e+07,-12248.5,27224.5,0.379786
3.80006e+11,-6.57036e+11,-5.77309e+09,11058.2,7099.1,-276.891
-3.63304e+09,6.26818e+09,5.52392e+07,-105.465,-67.9394,2.64225
1.32965e+11,6.60359e+10,5.12667e+07,-12522.5,27106.2,0.386793
3.80559e+11,-6.56681e+11,-5.78693e+09,11052.6,7108.88,-276.805
-3.63831e+09,6.26478e+09,5.53713e+07,-105.41,-68.0324,2.64142
1.32332e+11,6.73882e+10,5.12862e+07,-12795.3,26985,0.394032
3.81111e+11,-6.56325e+11,-5.80077e+09,11046.9,7118.65,-276.718
-3.64358e+09,6.26137e+09,5.55034e+07,-105.355,-68.1253,2.6406
1.31685e+11,6.87344e+10,5.13061e+07,-13067.1,26861.1,0.401503
3.81663e+11,-6.55969e+11,-5.81461e+09,11041.2,7128.42,-276.632
-3.64884e+09,6.25796e+09,5.56354e+07,-105.3,-68.2182,2.63977
1.31025e+11,7.00743e+10,5.13264e+07,-13337.6,26734.5,0.409204
3.82215e+11,-6.55613e+11,-5.82843e+09,11035.5,7138.19,-276.545
-3.65411e+09,6.25455e+09,5.57673e+07,-105.245,-68.311,2.63894
1.30351e+11,7.14078e+10,5.13471e+07,-13607,26605,0.417135
3.82767e+11,-6.55255e+11,-5.84226e+09,11029.8,7147.95,-276.458
-3.65937e+09,6.25113e+09,5.58993e+07,-105.189,-68.4037,2.63811
1.29664e+11,7.27348e+10,5.13681e+07,-13875.1,26472.9,0.425296
3.83318e+11,-6.54898e+11,-5.85608e+09,11024.1,7157.71,-276.371
-3.66463e+09,6.24771e+09,5.60312e+07,-105.134,-68.4964,2.63728
1.28964e+11,7.40551e+10,5.13896e+07,-14142,26338,0.433685
3.83869e+11,-6.5454e+11,-5.8699e+09,11018.4,7167.47,-276.284
-3.66988e+09,6.24428e+09,5.6163e+07,-105.079,-68.5891,2.63644
1.2825e+11,7.53686e+10,5.14115e+07,-14407.6,26200.4,0.442303
3.8442e+11,-6.54181e+11,-5.88371e+09,11012.7,7177.22,-276.196
-3.67513e+09,6.24085e+09,5.62948e+07,-105.023,-68.6817,2.6356
1.27523e+11,7.66751e+10,5.14338e+07,-14671.9,26060.1,0.451147
