L,npcs,time
             40,1,4.171875
             80,1,16.4375
             40,2,2.0625
             40,2,2.125
             80,2,8.390625
             80,2,8.203125
             40,4,1.15625
             40,4,1.109375
             40,4,1.09375
             40,4,1.09375
             80,4,4.234375
             80,4,4.296875
             80,4,4.25
             80,4,4.28125
             40,8,0.640625
             40,8,0.609375
             40,8,0.625
             40,8,0.65625
             40,8,0.671875
             40,8,0.65625
             40,8,0.59375
             40,8,0.640625
             80,8,2.53125
             80,8,2.59375
             80,8,2.59375
             80,8,2.546875
             80,8,2.53125
             80,8,2.53125
             80,8,2.609375
             80,8,2.546875
