mc,E,M,Cv,chi
              1,-8,12,256,16
2,-4,10,272,20
3,-2.6666667,9.3333333,270.22222,19.555556
4,-2,9,268,19
5,-1.6,8.8,266.24,18.56
6,-1.3333333,8.6666667,264.88889,18.222222
7,-1.1428571,8.5714286,263.83673,17.959184
8,-1,8.5,263,17.75
9,-0.88888889,8.4444444,262.32099,17.580247
10,-0.8,8.4,261.76,17.44
11,-0.72727273,8.3636364,261.28926,17.322314
12,-0.66666667,8.3333333,260.88889,17.222222
13,-0.61538462,8.3076923,260.54438,17.136095
14,-0.57142857,8.2857143,260.2449,17.061224
15,-0.53333333,8.2666667,259.98222,16.995556
16,-0.5,8.25,259.75,16.9375
17,-0.47058824,8.2352941,259.54325,16.885813
18,-0.44444444,8.2222222,259.35802,16.839506
19,-0.42105263,8.2105263,259.19114,16.797784
20,-0.4,8.2,259.04,16.76
21,-0.38095238,8.1904762,258.90249,16.725624
22,-0.36363636,8.1818182,258.77686,16.694215
23,-0.34782609,8.173913,258.66163,16.665406
24,-0.33333333,8.1666667,258.55556,16.638889
25,-0.32,8.16,258.4576,16.6144
26,-0.30769231,8.1538462,258.36686,16.591716
27,-0.2962963,8.1481481,258.28258,16.570645
28,-0.28571429,8.1428571,258.20408,16.55102
29,-0.27586207,8.137931,258.1308,16.532699
30,-0.26666667,8.1333333,258.06222,16.515556
31,-0.25806452,8.1290323,257.99792,16.49948
32,-0.25,8.125,257.9375,16.484375
33,-0.24242424,8.1212121,257.88062,16.470156
34,-0.23529412,8.1176471,257.82699,16.456747
35,-0.22857143,8.1142857,257.77633,16.444082
36,-0.22222222,8.1111111,257.7284,16.432099
37,-0.21621622,8.1081081,257.68298,16.420745
38,-0.21052632,8.1052632,257.63989,16.409972
39,-0.20512821,8.1025641,257.59895,16.399737
40,-0.2,8.1,257.56,16.39
41,-0.19512195,8.097561,257.5229,16.380726
42,-0.19047619,8.0952381,257.48753,16.371882
43,-0.18604651,8.0930233,257.45376,16.36344
44,-0.18181818,8.0909091,257.42149,16.355372
45,-0.17777778,8.0888889,257.39062,16.347654
46,-0.17391304,8.0869565,257.36106,16.340265
47,-0.17021277,8.0851064,257.33273,16.333182
48,-0.16666667,8.0833333,257.30556,16.326389
49,-0.16326531,8.0816327,257.27947,16.319867
50,-0.16,8.08,257.2544,16.3136
51,-0.15686275,8.0784314,257.2303,16.307574
52,-0.15384615,8.0769231,257.2071,16.301775
53,-0.1509434,8.0754717,257.18476,16.296191
54,-0.14814815,8.0740741,257.16324,16.290809
55,-0.14545455,8.0727273,257.14248,16.28562
56,-0.14285714,8.0714286,257.12245,16.280612
57,-0.14035088,8.0701754,257.10311,16.275777
58,-0.13793103,8.0689655,257.08442,16.271106
59,-0.13559322,8.0677966,257.06636,16.26659
60,-0.13333333,8.0666667,257.04889,16.262222
61,-0.13114754,8.0655738,257.03198,16.257995
62,-0.12903226,8.0645161,257.01561,16.253902
63,-0.12698413,8.0634921,256.99975,16.249937
64,-0.125,8.0625,256.98438,16.246094
65,-0.12307692,8.0615385,256.96947,16.242367
66,-0.12121212,8.0606061,256.955,16.238751
67,-0.11940299,8.0597015,256.94097,16.235242
68,-0.11764706,8.0588235,256.92734,16.231834
69,-0.11594203,8.057971,256.91409,16.228523
70,-0.11428571,8.0571429,256.90122,16.225306
71,-0.11267606,8.056338,256.88871,16.222178
72,-0.11111111,8.0555556,256.87654,16.219136
73,-0.10958904,8.0547945,256.8647,16.216176
74,-0.10810811,8.0540541,256.85318,16.213294
75,-0.10666667,8.0533333,256.84196,16.210489
76,-0.10526316,8.0526316,256.83102,16.207756
77,-0.1038961,8.0519481,256.82037,16.205094
78,-0.1025641,8.0512821,256.80999,16.202498
79,-0.10126582,8.0506329,256.79987,16.199968
80,-0.1,8.05,256.79,16.1975
81,-0.098765432,8.0493827,256.78037,16.195092
82,-0.097560976,8.0487805,256.77097,16.192742
83,-0.096385542,8.0481928,256.76179,16.190449
84,-0.095238095,8.047619,256.75283,16.188209
85,-0.094117647,8.0470588,256.74408,16.186021
86,-0.093023256,8.0465116,256.73553,16.183883
87,-0.091954023,8.045977,256.72718,16.181794
88,-0.090909091,8.0454545,256.71901,16.179752
89,-0.08988764,8.0449438,256.71102,16.177755
90,-0.088888889,8.0444444,256.70321,16.175802
91,-0.087912088,8.043956,256.69557,16.173892
92,-0.086956522,8.0434783,256.68809,16.172023
93,-0.086021505,8.0430108,256.68077,16.170193
94,-0.085106383,8.0425532,256.67361,16.168402
95,-0.084210526,8.0421053,256.66659,16.166648
96,-0.083333333,8.0416667,256.65972,16.164931
97,-0.082474227,8.0412371,256.65299,16.163248
98,-0.081632653,8.0408163,256.6464,16.161599
99,-0.080808081,8.040404,256.63993,16.159984
100,-0.08,8.04,256.6336,16.1584
101,-0.079207921,8.039604,256.62739,16.156847
102,-0.078431373,8.0392157,256.6213,16.155325
103,-0.077669903,8.038835,256.61533,16.153832
104,-0.076923077,8.0384615,256.60947,16.152367
105,-0.076190476,8.0380952,256.60372,16.15093
106,-0.075471698,8.0377358,256.59808,16.149519
107,-0.074766355,8.0373832,256.59254,16.148135
108,-0.074074074,8.037037,256.58711,16.146776
109,-0.073394495,8.0366972,256.58177,16.145442
110,-0.072727273,8.0363636,256.57653,16.144132
111,-0.072072072,8.036036,256.57138,16.142846
112,-0.071428571,8.0357143,256.56633,16.141582
113,-0.07079646,8.0353982,256.56136,16.14034
114,-0.070175439,8.0350877,256.55648,16.13912
115,-0.069565217,8.0347826,256.55168,16.137921
116,-0.068965517,8.0344828,256.54697,16.136742
117,-0.068376068,8.034188,256.54233,16.135583
118,-0.06779661,8.0338983,256.53778,16.134444
119,-0.067226891,8.0336134,256.5333,16.133324
120,-0.066666667,8.0333333,256.52889,16.132222
121,-0.066115702,8.0330579,256.52455,16.131139
122,-0.06557377,8.0327869,256.52029,16.130073
123,-0.06504065,8.0325203,256.51609,16.129024
124,-0.064516129,8.0322581,256.51197,16.127992
125,-0.064,8.032,256.5079,16.126976
126,-0.063492063,8.031746,256.50391,16.125976
127,-0.062992126,8.0314961,256.49997,16.124992
128,-0.0625,8.03125,256.49609,16.124023
129,-0.062015504,8.0310078,256.49228,16.12307
130,-0.061538462,8.0307692,256.48852,16.12213
131,-0.061068702,8.0305344,256.48482,16.121205
132,-0.060606061,8.030303,256.48118,16.120294
133,-0.060150376,8.0300752,256.47758,16.119396
134,-0.059701493,8.0298507,256.47405,16.118512
135,-0.059259259,8.0296296,256.47056,16.117641
136,-0.058823529,8.0294118,256.46713,16.116782
137,-0.058394161,8.0291971,256.46374,16.115936
138,-0.057971014,8.0289855,256.46041,16.115102
139,-0.057553957,8.028777,256.45712,16.11428
140,-0.057142857,8.0285714,256.45388,16.113469
141,-0.056737589,8.0283688,256.45068,16.11267
142,-0.056338028,8.028169,256.44753,16.111883
143,-0.055944056,8.027972,256.44442,16.111106
144,-0.055555556,8.0277778,256.44136,16.11034
145,-0.055172414,8.0275862,256.43834,16.109584
146,-0.054794521,8.0273973,256.43535,16.108838
147,-0.054421769,8.0272109,256.43241,16.108103
148,-0.054054054,8.027027,256.42951,16.107378
149,-0.053691275,8.0268456,256.42665,16.106662
150,-0.053333333,8.0266667,256.42382,16.105956
151,-0.052980132,8.0264901,256.42103,16.105259
152,-0.052631579,8.0263158,256.41828,16.104571
153,-0.052287582,8.0261438,256.41557,16.103892
154,-0.051948052,8.025974,256.41289,16.103221
155,-0.051612903,8.0258065,256.41024,16.10256
156,-0.051282051,8.025641,256.40763,16.101907
157,-0.050955414,8.0254777,256.40505,16.101262
158,-0.050632911,8.0253165,256.4025,16.100625
159,-0.050314465,8.0251572,256.39998,16.099996
160,-0.05,8.025,256.3975,16.099375
161,-0.049689441,8.0248447,256.39505,16.098762
162,-0.049382716,8.0246914,256.39262,16.098156
163,-0.049079755,8.0245399,256.39023,16.097557
164,-0.048780488,8.0243902,256.38786,16.096966
165,-0.048484848,8.0242424,256.38553,16.096382
166,-0.048192771,8.0240964,256.38322,16.095805
167,-0.047904192,8.0239521,256.38094,16.095235
168,-0.047619048,8.0238095,256.37868,16.094671
169,-0.047337278,8.0236686,256.37646,16.094114
170,-0.047058824,8.0235294,256.37426,16.093564
171,-0.046783626,8.0233918,256.37208,16.09302
172,-0.046511628,8.0232558,256.36993,16.092482
173,-0.046242775,8.0231214,256.3678,16.091951
174,-0.045977011,8.0229885,256.3657,16.091426
175,-0.045714286,8.0228571,256.36362,16.090906
176,-0.045454545,8.0227273,256.36157,16.090393
177,-0.04519774,8.0225989,256.35954,16.089885
178,-0.04494382,8.0224719,256.35753,16.089383
179,-0.044692737,8.0223464,256.35554,16.088886
180,-0.044444444,8.0222222,256.35358,16.088395
181,-0.044198895,8.0220994,256.35164,16.087909
182,-0.043956044,8.021978,256.34972,16.087429
183,-0.043715847,8.0218579,256.34782,16.086954
184,-0.043478261,8.0217391,256.34594,16.086484
185,-0.043243243,8.0216216,256.34408,16.086019
186,-0.043010753,8.0215054,256.34224,16.085559
187,-0.042780749,8.0213904,256.34042,16.085104
188,-0.042553191,8.0212766,256.33861,16.084654
189,-0.042328042,8.021164,256.33683,16.084208
190,-0.042105263,8.0210526,256.33507,16.083767
191,-0.041884817,8.0209424,256.33332,16.083331
192,-0.041666667,8.0208333,256.3316,16.082899
193,-0.041450777,8.0207254,256.32989,16.082472
194,-0.041237113,8.0206186,256.3282,16.082049
195,-0.041025641,8.0205128,256.32652,16.081631
196,-0.040816327,8.0204082,256.32486,16.081216
197,-0.040609137,8.0203046,256.32322,16.080806
198,-0.04040404,8.020202,256.3216,16.0804
199,-0.040201005,8.0201005,256.31999,16.079998
200,-0.04,8.02,256.3184,16.0796
201,-0.039800995,8.0199005,256.31682,16.079206
202,-0.03960396,8.019802,256.31526,16.078816
203,-0.039408867,8.0197044,256.31372,16.078429
204,-0.039215686,8.0196078,256.31219,16.078047
205,-0.03902439,8.0195122,256.31067,16.077668
206,-0.038834951,8.0194175,256.30917,16.077293
207,-0.038647343,8.0193237,256.30769,16.076921
208,-0.038461538,8.0192308,256.30621,16.076553
209,-0.038277512,8.0191388,256.30475,16.076189
210,-0.038095238,8.0190476,256.30331,16.075828
211,-0.037914692,8.0189573,256.30188,16.07547
212,-0.037735849,8.0188679,256.30046,16.075116
213,-0.037558685,8.0187793,256.29906,16.074765
214,-0.037383178,8.0186916,256.29767,16.074417
215,-0.037209302,8.0186047,256.29629,16.074072
216,-0.037037037,8.0185185,256.29492,16.073731
217,-0.036866359,8.0184332,256.29357,16.073393
218,-0.036697248,8.0183486,256.29223,16.073058
219,-0.03652968,8.0182648,256.2909,16.072726
220,-0.036363636,8.0181818,256.28959,16.072397
221,-0.036199095,8.0180995,256.28828,16.072071
222,-0.036036036,8.018018,256.28699,16.071747
223,-0.035874439,8.0179372,256.28571,16.071427
224,-0.035714286,8.0178571,256.28444,16.07111
225,-0.035555556,8.0177778,256.28318,16.070795
226,-0.03539823,8.0176991,256.28193,16.070483
227,-0.035242291,8.0176211,256.2807,16.070174
228,-0.035087719,8.0175439,256.27947,16.069868
229,-0.034934498,8.0174672,256.27826,16.069564
230,-0.034782609,8.0173913,256.27705,16.069263
231,-0.034632035,8.017316,256.27586,16.068964
232,-0.034482759,8.0172414,256.27467,16.068668
233,-0.034334764,8.0171674,256.2735,16.068375
234,-0.034188034,8.017094,256.27234,16.068084
235,-0.034042553,8.0170213,256.27118,16.067795
236,-0.033898305,8.0169492,256.27004,16.067509
237,-0.033755274,8.0168776,256.2689,16.067226
238,-0.033613445,8.0168067,256.26778,16.066944
239,-0.033472803,8.0167364,256.26666,16.066665
240,-0.033333333,8.0166667,256.26556,16.066389
241,-0.033195021,8.0165975,256.26446,16.066115
242,-0.033057851,8.0165289,256.26337,16.065842
243,-0.032921811,8.0164609,256.26229,16.065573
244,-0.032786885,8.0163934,256.26122,16.065305
245,-0.032653061,8.0163265,256.26016,16.06504
246,-0.032520325,8.0162602,256.25911,16.064776
247,-0.032388664,8.0161943,256.25806,16.064515
248,-0.032258065,8.016129,256.25702,16.064256
249,-0.032128514,8.0160643,256.256,16.063999
250,-0.032,8.016,256.25498,16.063744
251,-0.03187251,8.0159363,256.25396,16.063491
252,-0.031746032,8.015873,256.25296,16.06324
253,-0.031620553,8.0158103,256.25196,16.062991
254,-0.031496063,8.015748,256.25098,16.062744
